match_id,season,city,venue,dates,team1,team2,toss_winner,toss_decision,player_of_match,umpire1,umpire2,result,winner,by_runs,by_wickets
1082591,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",['2017-04-05'],Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Yuvraj Singh,AY Dandekar,NJ Llong,Sunrisers Hyderabad won by 35 runs,Sunrisers Hyderabad,35,
1082592,2017,Pune,Maharashtra Cricket Association Stadium,['2017-04-06'],Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,SPD Smith,A Nand Kishore,S Ravi,Rising Pune Supergiant won by 7 wickets,Rising Pune Supergiant,0,7.0
1082593,2017,Rajkot,Saurashtra Cricket Association Stadium,['2017-04-07'],Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,CA Lynn,Nitin Menon,CK Nandan,Kolkata Knight Riders won by 10 wickets,Kolkata Knight Riders,0,10.0
1082594,2017,Indore,Holkar Cricket Stadium,['2017-04-08'],Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,GJ Maxwell,AK Chaudhary,C Shamshuddin,Kings XI Punjab won by 6 wickets,Kings XI Punjab,0,6.0
1082595,2017,Bengaluru,M.Chinnaswamy Stadium,['2017-04-08'],Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,KM Jadhav,S Ravi,VK Sharma,Royal Challengers Bangalore won by 15 runs,Royal Challengers Bangalore,15,
1082596,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",['2017-04-09'],Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Rashid Khan,A Deshmukh,NJ Llong,Sunrisers Hyderabad won by 9 wickets,Sunrisers Hyderabad,0,9.0
1082597,2017,Mumbai,Wankhede Stadium,['2017-04-09'],Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,N Rana,Nitin Menon,CK Nandan,Mumbai Indians won by 4 wickets,Mumbai Indians,0,4.0
1082598,2017,Indore,Holkar Cricket Stadium,['2017-04-10'],Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,AR Patel,AK Chaudhary,C Shamshuddin,Kings XI Punjab won by 8 wickets,Kings XI Punjab,0,8.0
1082599,2017,Pune,Maharashtra Cricket Association Stadium,['2017-04-11'],Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,SV Samson,AY Dandekar,S Ravi,Delhi Daredevils won by 97 runs,Delhi Daredevils,97,
1082600,2017,Mumbai,Wankhede Stadium,['2017-04-12'],Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,JJ Bumrah,Nitin Menon,CK Nandan,Mumbai Indians won by 4 wickets,Mumbai Indians,0,4.0
1082601,2017,Kolkata,Eden Gardens,['2017-04-13'],Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,SP Narine,A Deshmukh,NJ Llong,Kolkata Knight Riders won by 8 wickets,Kolkata Knight Riders,0,8.0
1082602,2017,Bangalore,M Chinnaswamy Stadium,['2017-04-14'],Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,Mumbai Indians won by 4 wickets,Mumbai Indians,0,4.0
1082603,2017,Rajkot,Saurashtra Cricket Association Stadium,['2017-04-14'],Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,AJ Tye,A Nand Kishore,S Ravi,Gujarat Lions won by 7 wickets,Gujarat Lions,0,7.0
1082604,2017,Kolkata,Eden Gardens,['2017-04-15'],Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,RV Uthappa,AY Dandekar,NJ Llong,Kolkata Knight Riders won by 17 runs,Kolkata Knight Riders,17,
1082605,2017,Delhi,Feroz Shah Kotla,['2017-04-15'],Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,CJ Anderson,YC Barde,Nitin Menon,Delhi Daredevils won by 51 runs,Delhi Daredevils,51,
1082606,2017,Mumbai,Wankhede Stadium,['2017-04-16'],Mumbai Indians,Gujarat Lions,Mumbai Indians,field,N Rana,A Nand Kishore,S Ravi,Mumbai Indians won by 6 wickets,Mumbai Indians,0,6.0
1082607,2017,Bangalore,M Chinnaswamy Stadium,['2017-04-16'],Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,BA Stokes,KN Ananthapadmanabhan,C Shamshuddin,Rising Pune Supergiant won by 27 runs,Rising Pune Supergiant,27,
1082608,2017,Delhi,Feroz Shah Kotla,['2017-04-17'],Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,NM Coulter-Nile,Nitin Menon,CK Nandan,Kolkata Knight Riders won by 4 wickets,Kolkata Knight Riders,0,4.0
1082609,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",['2017-04-17'],Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,B Kumar,AY Dandekar,A Deshmukh,Sunrisers Hyderabad won by 5 runs,Sunrisers Hyderabad,5,
1082610,2017,Rajkot,Saurashtra Cricket Association Stadium,['2017-04-18'],Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,CH Gayle,S Ravi,VK Sharma,Royal Challengers Bangalore won by 21 runs,Royal Challengers Bangalore,21,
1082611,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",['2017-04-19'],Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,KS Williamson,CB Gaffaney,NJ Llong,Sunrisers Hyderabad won by 15 runs,Sunrisers Hyderabad,15,
1082612,2017,Indore,Holkar Cricket Stadium,['2017-04-20'],Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,JC Buttler,M Erasmus,C Shamshuddin,Mumbai Indians won by 8 wickets,Mumbai Indians,0,8.0
1082613,2017,Kolkata,Eden Gardens,['2017-04-21'],Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,SK Raina,CB Gaffaney,Nitin Menon,Gujarat Lions won by 4 wickets,Gujarat Lions,0,4.0
1082614,2017,Mumbai,Wankhede Stadium,['2017-04-22'],Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,MJ McClenaghan,A Nand Kishore,S Ravi,Mumbai Indians won by 14 runs,Mumbai Indians,14,
